 Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Area,Kitchen_type,Furnished,Open_fire,Terasse,Garden,Surface_of_land,Surface_plot_land,Number_of_facades,Swimming_pool,Building_condition
Ronse,House,House,229500,,4,173,Installed,No,0,0,85,190,80,2,0,As new
Ronse,House,House,239900,,4,186,Hyper equipped,No,0,0,20,133,90,2,0,Just renovated
Laeken,House,House,690000,,5,283,Semi equipped,No,0,0,650,780,,2,0,To renovate
Anderlecht,House,House,699000,,6,370,Hyper equipped,No,1,0,80,185,,2,0,To renovate
Anderlecht,House,House,390000,,4,145,Installed,No,0,0,0,95,80,3,0,Good
Anderlecht,House,House,399000,,3,170,Semi equipped,No,0,0,110,183,87,2,0,Good
Woluwe-Saint-Lambert,House,House,625000,,4,195,Installed,No,0,0,40,135,245,2,0,Good
Ronse,House,House,169000,,3,135,Installed,Yes,0,0,60,170,65,2,0,Good
Villersle-Bouillet Warnant-Dreye,House,House,275000,,3,150,Installed,No,0,0,240,391,104,3,0,Good
Leuven,House,House,350000,,3,104,Installed,Yes,0,0,0,49,,2,0,Good
Sint-Pieters-Leeuw,House,House,550000,,5,315,USA hyper equipped,No,0,0,450,523,317,3,0,As new
Opwijk,House,House,305000,,2,145,USA installed,No,0,0,0,255,,2,0,As new
Halle,House,House,459000,,3,203,Semi equipped,No,0,0,755,755,,4,0,Good
Oostduinkerke,House,Villa,499000,,3,180,Installed,No,0,0,0,351,,4,0,Good
Braine-l'Alleud,House,House,250000,,2,85,Hyper equipped,No,0,0,400,238,,3,0,Good
Huy,House,Mansion,239000,,5,177,USA installed,No,0,0,1000,1100,75,3,0,To be done up
Etterbeek,House,House,520000,,3,140,USA hyper equipped,No,0,0,0,122,122,2,0,As new
Forest,House,House,550000,,4,173,Installed,No,0,0,35,80,,2,0,Just renovated
Laeken,House,Apartment block,750000,,6,320,Installed,No,0,0,0,80,,2,0,Good
Molenbeek-Saint-Jean,House,Apartment block,750000,,6,320,Installed,No,0,0,0,80,,2,0,Good
Ronse,House,House,179000,,2,145,Hyper equipped,No,0,0,0,140,80,2,0,Good
Uccle,House,House,475000,,3,160,Installed,No,0,0,120,170,,2,0,To renovate
Dilbeek,House,House,,New price,4,210,Not installed,No,0,0,0,695,,4,0,To renovate
Ninove,House,House,425000,,3,190,Hyper equipped,No,0,0,0,472,,4,0,As new
Laeken,House,House,475000,,4,175,Semi equipped,No,0,0,150,259,,2,0,To be done up
Sint-Pieters-Woluwe,House,House,695000,,4,165,Installed,No,0,0,70,289,,3,0,To be done up
Brugge,House,Mansion,1670000,,6,430,Hyper equipped,No,2,0,150,405,,2,0,As new
Temse,House,House,995000,,5,465,Hyper equipped,No,0,0,0,2317,,4,0,Good
NOSSEGEM,House,Mansion,419000,,3,220,USA hyper equipped,No,1,0,380,570,,3,0,Good
NOSSEGEM,House,House,419000,,3,220,USA hyper equipped,No,1,0,380,570,,3,0,Good
Woluwe-Saint-Lambert,House,Apartment block,460000,,4,165,Not installed,No,0,0,38,130,,2,0,To renovate
Brecht,House,Villa,649000,,3,212,Installed,No,1,0,1014,1207,,4,0,As new
