Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Area,Kitchen_type,Furnished,Open_fire,Terasse,Garden,Surface_of_land,Surface_plot_land,Number_of_facades,Swimming_pool,Building_condition
Nivelles,Apartment,Apartment,155000,,2,65,Installed,No,0,0,0,,,2,0,As new
BEN-AHIN,Apartment,Apartment,279900,,2,90,Installed,No,0,0,0,,,4,0,As new
Woluwe-Saint-Lambert,Apartment,Apartment,365000,,3,122,USA hyper equipped,No,0,0,0,,,,0,Good
Uccle,Apartment,Apartment,695000,,2,150,Hyper equipped,No,0,0,0,,,3,0,Good
Bruxelles,Apartment,Apartment,795000,,3,240,Hyper equipped,No,0,0,0,,,2,0,Just renovated
Vaux-sous-Chèvremont,Apartment,Apartment,179500,,2,86,Not installed,No,0,0,0,,,2,0,As new
Laeken,Apartment,Apartment,295000,,2,105,Hyper equipped,No,0,0,0,,8,3,0,As new
Gent,Apartment,Apartment,295000,,2,79,Hyper equipped,No,0,0,0,,,2,0,Good
Arlon,Apartment,Apartment,340000,,3,119,Installed,No,0,0,0,,,,0,Good
Auderghem,Apartment,Apartment,395000,,2,75,USA hyper equipped,Yes,0,0,0,,,2,0,As new
BRUXELLES,Apartment,Apartment,795000,,4,235,Installed,No,0,0,0,,,2,0,Just renovated
Etterbeek,Apartment,Apartment,795000,,4,235,Installed,No,0,0,0,,,2,0,Just renovated
Ixelles,Apartment,Studio,175000,,0,43,Not installed,No,0,0,0,,,4,0,To renovate
Ixelles,Apartment,Apartment,535000,,2,90,Installed,No,0,0,0,,,2,0,Good
Uccle,Apartment,Apartment,750000,,3,221,Installed,No,1,0,0,,,4,0,As new
Herent,Apartment,Apartment,205000,,1,70,Semi equipped,No,0,0,0,,,2,0,Good
Hermalle-sous-Huy,House,House,175000,,3,167,Installed,No,0,0,100,224,134,3,0,Good
Amay,House,House,225000,,3,130,Installed,No,0,0,120,259,,3,0,As new
Jumet,House,House,285000,,3,220,Hyper equipped,No,0,0,50,1000,220,2,0,As new
Halle,House,House,289000,,3,112,Installed,No,0,0,50,115,,2,0,Just renovated
Ronse,House,Villa,345000,,3,172,Installed,No,0,0,615,871,98,4,0,To renovate
Leglise,House,House,365000,,3,211,Installed,No,0,0,0,1747,,4,0,To be done up
Dendermonde,House,Country house,,New price,10,720,Installed,No,0,0,0,1487,,4,0,Just renovated
Dendermonde,House,Mixed-use building,,New price,10,720,Installed,No,0,0,0,1487,,4,0,Just renovated
Liege,House,Apartment block,328000,,6,183,Installed,No,0,0,0,83,72,2,0,Good
SCRY,House,House,,life annuity,2,100,Semi equipped,No,0,0,0,2010,,3,0,To be done up
Ham-sur-Heure,House,Villa,,New price,2,123,Semi equipped,No,1,0,700,950,,4,0,To be done up
VIANE,House,House,339000,,4,155,Installed,No,0,0,373,903,,4,0,As new
Mechelen,House,House,365000,,2,134,Hyper equipped,No,0,0,69,226,,2,0,As new
Laeken,House,Apartment block,750000,,6,320,Installed,No,0,0,0,80,,2,0,Good
Molenbeek-Saint-Jean,House,Apartment block,750000,,6,320,Installed,No,0,0,0,80,,2,0,Good
Etterbeek,House,Mansion,1050000,,5,468,Installed,No,0,0,53,170,,2,0,Good
SINT-PIETERS-WOLUWE,House,Mansion,1050000,,5,468,Installed,No,0,0,53,170,,2,0,Good
SINT-LAMBRECHTS-WOLUWE,House,Mansion,1050000,,5,468,Installed,No,0,0,53,170,,2,0,Good
SINT-LAMBRECHTS-WOLUWE,House,Apartment block,1050000,,5,468,Installed,No,0,0,53,170,,2,0,Good
Musson Signeulx,House,House,289000,,3,180,Installed,No,0,0,300,690,,4,0,To be done up
Boom,House,House,,New price,4,126,Installed,No,0,0,98,205,,2,0,Good
Ronse,House,House,235000,,4,214,Installed,No,0,0,675,1863,195,3,0,To renovate
Beaumont,House,Villa,,New price,3,144,Installed,No,0,0,1700,2366,,4,0,As new
Ronse,House,House,199000,,3,145,Installed,No,0,0,108,198,70,2,0,Good
Ronse,House,Mansion,299000,,5,258,Installed,No,0,0,0,156,196,2,0,As new
Dilbeek,House,House,449000,,5,186,Hyper equipped,No,0,0,0,413,,4,0,To be done up
Kraainem,House,House,599000,,4,170,Hyper equipped,No,0,0,92,198,,2,0,To be done up
Woluwe-Saint-Pierre,House,House,990000,New build,6,485,Hyper equipped,No,0,0,0,251,143,2,0,As new
